a,algebraic,arithmetic
2,5.48778,468.89
4,4.54666,463.936
8,4.60133,457.75
16,4.70979,663.137
32,7.06017,699.593
64,7.06215,498.123
128,4.72249,449.813
256,4.6004,447.208
512,4.52794,567.836
1024,6.95329,676.935
2048,7.00757,588.652
4096,4.69881,433.298
8192,4.71173,428.129
16384,4.56891,418.51
32768,7.04833,600.037
65536,7.03114,463.261
131072,6.91878,401.175
262144,4.55182,263.988
524288,4.66664,264.985
1048576,4.60456,264.682
2097152,4.59996,264.428
4194304,4.69448,265.228
8388608,4.6747,396.553
16777216,6.98634,406.253
33554432,6.94778,406.473
67108864,7.04802,345.56
134217728,4.57484,264.917
268435456,4.56468,264.425
536870912,4.7014,264.732
1073741824,4.61786,264.457
