n,recursive,algebraic,arithmetic
10,0.009777,0.0063,0.036332
20,0.012459,0.005022,0.066619
40,0.024701,0.006737,0.136543
80,0.068748,0.009223,0.23613
160,0.181111,0.01631,0.471463
320,0.52075,0.025514,1.00452
640,1.88372,0.042335,2.06148
1280,7.33737,0.112218,4.33702
2560,29.0674,0.211089,9.17149
5120,116.413,0.241351,19.6074
10240,455.484,0.699545,41.4629
20480,2295.57,1.98725,84.9565
40960,10376.3,3.65746,179.124
81920,35663.2,8.41751,374.755
163840,179503,16.7582,786.699
327680,718040,17.85,1684.46
655360,2.87691e+06,30.3433,3487.31
1310720,1.1513e+07,60.9543,8186.19
2621440,,133.61,17698.4
5242880,,390.024,43597.4
10485760,,1104.32,96394.5
20971520,,2335.12,230089
41943040,,3898.76,
83886080,,5283.57,
167772160,,12495.3,
335544320,,24782.3,
671088640,,42270.9,
