n,A,B
10,14,34
20,28,68
40,56,136
80,113,273
160,226,546
320,452,1092
640,905,2185
1280,1810,4370
2560,3620,8740
5120,7240,17480
10240,14481,34961
20480,28963,69923
40960,57926,139846
81920,115852,279692
163840,231704,559384
327680,463409,1.11877e+06
655360,926819,2.23754e+06
1.31072e+06,1.85364e+06,4.47508e+06
2.62144e+06,3.70728e+06,8.95016e+06
5.24288e+06,7.41455e+06,1.79003e+07
1.04858e+07,1.48291e+07,3.58006e+07
2.09715e+07,2.96582e+07,7.16012e+07
4.1943e+07,5.93164e+07,1.43202e+08
8.38861e+07,1.18633e+08,2.86405e+08
1.67772e+08,2.37266e+08,5.7281e+08
3.35544e+08,4.74531e+08,1.14562e+09
6.71089e+08,9.49063e+08,2.29124e+09
1.34218e+09,1.89813e+09,4.58248e+09
2.68435e+09,3.79625e+09,9.16496e+09
5.36871e+09,7.5925e+09,1.83299e+10
1.07374e+10,1.5185e+10,3.66598e+10
2.14748e+10,3.037e+10,7.33197e+10
4.29497e+10,6.074e+10,1.46639e+11
8.58993e+10,1.2148e+11,2.93279e+11
1.71799e+11,2.4296e+11,5.86557e+11
3.43597e+11,4.8592e+11,1.17311e+12
6.87195e+11,9.7184e+11,2.34623e+12
1.37439e+12,1.94368e+12,4.69246e+12
2.74878e+12,3.88736e+12,9.38492e+12
5.49756e+12,7.77472e+12,1.87698e+13
1.09951e+13,1.55494e+13,3.75397e+13
2.19902e+13,3.10989e+13,7.50794e+13
4.39805e+13,6.21978e+13,1.50159e+14
8.79609e+13,1.24396e+14,3.00317e+14
1.75922e+14,2.48791e+14,6.00635e+14
3.51844e+14,4.97582e+14,1.20127e+15
7.03687e+14,9.95164e+14,2.40254e+15
1.40737e+15,1.99033e+15,4.80508e+15
2.81475e+15,3.98066e+15,9.61016e+15
5.6295e+15,7.96131e+15,1.92203e+16
1.1259e+16,1.59226e+16,3.84406e+16
2.2518e+16,3.18453e+16,7.68813e+16
4.5036e+16,6.36905e+16,1.53763e+17
9.0072e+16,1.27381e+17,3.07525e+17
1.80144e+17,2.54762e+17,6.1505e+17
3.60288e+17,5.09524e+17,1.2301e+18
7.20576e+17,1.01905e+18,2.4602e+18
1.44115e+18,2.0381e+18,4.9204e+18
2.8823e+18,4.07619e+18,9.8408e+18
5.76461e+18,8.15239e+18,1.96816e+19
1.15292e+19,1.63048e+19,3.93632e+19
2.30584e+19,3.26095e+19,7.87264e+19
4.61169e+19,6.52191e+19,1.57453e+20
9.22337e+19,1.30438e+20,3.14906e+20
1.84467e+20,2.60876e+20,6.29811e+20
3.68935e+20,5.21753e+20,1.25962e+21
7.3787e+20,1.04351e+21,2.51924e+21
1.47574e+21,2.08701e+21,5.03849e+21
2.95148e+21,4.17402e+21,1.0077e+22
5.90296e+21,8.34804e+21,2.0154e+22
1.18059e+22,1.66961e+22,4.03079e+22
2.36118e+22,3.33922e+22,8.06158e+22
4.72237e+22,6.67843e+22,1.61232e+23
9.44473e+22,1.33569e+23,3.22463e+23
1.88895e+23,2.67137e+23,6.44927e+23
3.77789e+23,5.34275e+23,1.28985e+24
7.55579e+23,1.06855e+24,2.57971e+24
1.51116e+24,2.1371e+24,5.15941e+24
3.02231e+24,4.2742e+24,1.03188e+25
6.04463e+24,8.5484e+24,2.06377e+25
1.20893e+25,1.70968e+25,4.12753e+25
2.41785e+25,3.41936e+25,8.25506e+25
4.8357e+25,6.83872e+25,1.65101e+26
9.67141e+25,1.36774e+26,3.30202e+26
1.93428e+26,2.73549e+26,6.60405e+26
3.86856e+26,5.47097e+26,1.32081e+27
7.73713e+26,1.09419e+27,2.64162e+27
1.54743e+27,2.18839e+27,5.28324e+27
3.09485e+27,4.37678e+27,1.05665e+28
6.1897e+27,8.75356e+27,2.1133e+28
1.23794e+28,1.75071e+28,4.22659e+28
2.47588e+28,3.50142e+28,8.45318e+28
4.95176e+28,7.00285e+28,1.69064e+29
9.90352e+28,1.40057e+29,3.38127e+29
1.9807e+29,2.80114e+29,6.76255e+29
3.96141e+29,5.60228e+29,1.35251e+30
7.92282e+29,1.12046e+30,2.70502e+30
1.58456e+30,2.24091e+30,5.41004e+30
3.16913e+30,4.48182e+30,1.08201e+31
6.33825e+30,8.96364e+30,2.16401e+31
