n,recursive,algebraic,arithmetic
10,0.038699,0.0063,0.036332
20,0.100679,0.005022,0.066619
40,0.388732,0.006737,0.136543
80,1.31803,0.009223,0.23613
160,5.44337,0.01631,0.471463
320,21.5718,0.025514,1.00452
640,92.3551,0.042335,2.14208
1280,393.834,0.112218,4.38958
2560,1712.27,0.211089,9.75733
5120,7228.81,0.241351,20.4146
10240,36212.1,0.699545,65.0405
20480,185500,1.98725,133.489
40960,801145,3.65746,279.822
81920,3.39069e+06,8.41751,590.845
163840,1.43707e+07,16.7582,1235.28
327680,,17.85,1684.46
655360,,30.3433,3487.31
1310720,,60.9543,8186.19
2621440,,133.61,17698.4
5242880,,390.024,46553.9
10485760,,1104.32,96394.5
20971520,,2335.12,253872
41943040,,3898.76,
83886080,,5283.57,
167772160,,12495.3,
335544320,,24782.3,
671088640,,42270.9,
